"location","item","element","Unit","Date","Value"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2009","16589.404871"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2010","17539.185326"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2011","20701.889506"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2012","23882.244498"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2013","25611.926527"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2014","25353.517839"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2015","22047.558179"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2016","20995.678975"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1991","8707.375983"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1992","8393.361137"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1993","8549.945865"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1994","9407.811775"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1995","9207.890617"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1996","9567.191234"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1997","9703.741171"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1998","8319.468989"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1999","8140.507208"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2000","7495.386087"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2001","7032.215655"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2002","7277.27769"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2003","10021.364552"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2004","11976.649467"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2005","12243.642636"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2006","12788.17681"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2007","15377.71184"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2008","17205.006447"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2009","16978.978543"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2010","19750.534362"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2011","22557.46383"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2012","22837.866369"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2013","21288.380253"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2014","21197.408356"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2015","17260.097481"
"South Africa","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2016","16515.287593"
"Libya","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1993","58.744249"
"Libya","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1994","63.094161"
"Libya","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1995","67.498127"
"Libya","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1996","162.013379"
"Libya","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1997","171.35884"
"Libya","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1998","165.05551"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1991","7636.961928"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1992","8190.822506"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1993","8766.266327"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1994","9000.748583"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1995","10968.083638"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1996","12578.627944"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1997","13645.355033"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1998","13754.823516"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1999","14425.507008"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2000","14755.536416"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2001","13078.747545"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2002","12706.655204"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2003","11467.337583"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2004","12991.081787"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2005","15750.068714"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2006","18166.524783"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2007","21822.70332"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2008","26733.97231"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2009","26138.249149"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2010","28480.351707"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2011","32001.71068"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2012","33838.415755"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2013","31326.458919"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2014","31982.78644"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2015","31997.831854"
"Egypt","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2016","28209.534231"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1991","1937.511831"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1992","1666.894791"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1993","1675.321135"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1994","1929.331772"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1995","1987.393103"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1996","1951.66376"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1997","1956.36407"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1998","1976.840404"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1999","2001.12807"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2000","1655.800116"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2001","1395.288989"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2002","1630.82156"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2003","1839.87552"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2004","1514.875812"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2005","1133.88909"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2006","1016.630408"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2007","1833.917788"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2008","1755.183746"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2009","1798.139662"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2010","1473.357358"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2011","1213.682913"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2012","1344.782614"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2013","1525.557732"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2014","1452.679535"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2015","1471.133084"
"Guinea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2016","1185.964064"
"Lesotho","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1991","46.043833"
"Lesotho","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1992","51.678645"
"Lesotho","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1993","50.813336"
"Lesotho","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1994","58.391809"
"Lesotho","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1995","48.265496"
"Lesotho","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1996","65.664567"
"Lesotho","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1997","57.614818"
"Lesotho","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1998","44.264778"
"Angola","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2010","7319.263288"
"Angola","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2011","7488.855631"
"Angola","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2012","7849.616047"
"Angola","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2013","8427.134426"
"Angola","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2014","5930.461711"
"Angola","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2015","3907.302773"
"Angola","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2016","2909.117483"
"Central African Republic","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1991","20.227651"
"Central African Republic","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1992","22.270051"
"Central African Republic","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1993","47.741831"
"Central African Republic","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1994","28.319652"
"Central African Republic","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1995","55.070067"
"Central African Republic","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1996","50.315586"
"Central African Republic","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1997","48.44853"
"Central African Republic","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1998","56.451591"
"Central African Republic","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2012","796.792674"
"Central African Republic","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2013","787.024817"
"Central African Republic","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2014","835.401638"
"Central African Republic","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2015","622.066166"
"Central African Republic","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2016","671.263273"
"Somalia","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1996","7.197547"
"Somalia","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1997","6.609049"
"Somalia","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1998","6.780086"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1991","1310.589731"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1992","1471.034829"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1993","1240.278468"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1994","774.067378"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1995","878.926754"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1996","1180.042572"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1997","913.43113"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1998","1173.848867"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1999","1015.836064"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2000","636.235271"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2001","1079.22127"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2002","1200.500459"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2003","1329.122665"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2004","1375.226343"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2005","1738.306706"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2006","1773.786592"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2007","1765.366174"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2008","3284.492704"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2009","2750.150105"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2010","2938.463211"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2011","3386.361107"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2012","3616.984676"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2013","3938.947601"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2014","3722.470412"
"Burkina Faso","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2015","2422.70651"
"Gabon","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1991","13.841599"
"Gabon","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1992","18.751087"
"Gabon","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1993","17.84774"
"Gabon","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1994","9.607036"
"Gabon","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1995","12.11237"
"Gabon","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1996","10.408882"
"Gabon","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1997","8.777438"
"Gabon","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1998","10.299605"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1991","587.454823"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1992","717.397909"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1993","582.580985"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1994","364.511899"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1995","554.658246"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1996","742.993192"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1997","748.010509"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1998","676.448643"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1999","583.96574"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2000","475.204441"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2001","540.304982"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2002","585.349721"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2003","649.494577"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2004","817.988482"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2005","1054.248724"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2006","984.607155"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2007","1178.748104"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2008","1840.336825"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2009","1953.636283"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2010","1814.620741"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2011","2484.732117"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2012","2347.14289"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2013","2241.758218"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2014","2441.60827"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2015","2006.684047"
"Togo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2016","2088.669684"
"Sierra Leone","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1991","5.080181"
"Sierra Leone","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1992","3.347659"
"Sierra Leone","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1993","6.89059"
"Sierra Leone","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1994","7.865551"
"Sierra Leone","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1995","7.038446"
"Sierra Leone","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1996","8.666545"
"Sierra Leone","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1997","8.59603"
"Sierra Leone","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1998","4.865063"
"Sierra Leone","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2011","2232.041163"
"Sierra Leone","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2012","2537.210857"
"Sierra Leone","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2013","3618.204878"
"Sierra Leone","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2014","4281.746838"
"Sierra Leone","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2015","4190.291937"
"Sierra Leone","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2016","3418.547902"
"Liberia","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1995","2.858"
"Liberia","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1996","14.986475"
"Liberia","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1997","16.663182"
"Liberia","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1998","0.420927"
"Eritrea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1993","169.655942"
"Eritrea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1994","231.019132"
"Eritrea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1995","193.609979"
"Eritrea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1996","199.029654"
"Eritrea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1997","167.405685"
"Eritrea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1998","329.66984"
"Eritrea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1999","276.789895"
"Eritrea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2000","248.651702"
"Eritrea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2001","282.080671"
"Eritrea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2002","224.344551"
"Eritrea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2003","295.243069"
"Eritrea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2004","401.135032"
"Eritrea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2005","463.533057"
"Eritrea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2006","507.22374"
"Eritrea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2007","626.464952"
"Eritrea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2008","503.038384"
"Eritrea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2009","743.293932"
"Eritrea","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2010","811.128627"
